"indicator","subtopic","short.description","population","year","comparison","adjusted.rate.ratio","adjusted.rate.ratio.low.CI","adjusted.rate.ratio.high.CI","adjusted.for"
"ind_26","Gaming machines and pokies","Spent more than $25 on playing gaming machines/pokies","adults",2018,"Men: Pacific vs non-Pacific",1.22,0.47,3.2,"Age"
"ind_26","Gaming machines and pokies","Spent more than $25 on playing gaming machines/pokies","adults",2018,"Most deprived vs least deprived",1.63,0.9,2.93,"Age, Sex, Ethnicity"
"ind_26","Gaming machines and pokies","Spent more than $25 on playing gaming machines/pokies","adults",2018,"Pacific vs non-Pacific",1.3,0.69,2.44,"Age, Sex"
"ind_26","Gaming machines and pokies","Spent more than $25 on playing gaming machines/pokies","adults",2018,"Women vs men",0.82,0.52,1.29,"Age"
"ind_26","Gaming machines and pokies","Spent more than $25 on playing gaming machines/pokies","adults",2018,"Women: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_26","Gaming machines and pokies","Spent more than $25 on playing gaming machines/pokies","adults",2018,"Women: Maori vs non-Maori",2.26,1.32,3.88,"Age"
"ind_26","Gaming machines and pokies","Spent more than $25 on playing gaming machines/pokies","adults",2018,"Women: Most deprived vs least deprived",1.73,0.74,4.04,"Age, Ethnicity"
"ind_26","Gaming machines and pokies","Spent more than $25 on playing gaming machines/pokies","adults",2018,"Women: Pacific vs non-Pacific",1.42,0.74,2.71,"Age"
"ind_3","Gambling participation","Any NZ Lotto products","adults",2018,"Asian vs non-Asian",0.59,0.47,0.74,"Age, Sex"
"ind_3","Gambling participation","Any NZ Lotto products","adults",2018,"Maori vs non-Maori",1.12,1,1.25,"Age, Sex"
"ind_3","Gambling participation","Any NZ Lotto products","adults",2018,"Men: Asian vs non-Asian",0.7,0.49,0.98,"Age"
"ind_3","Gambling participation","Any NZ Lotto products","adults",2018,"Men: Maori vs non-Maori",1.08,0.9,1.29,"Age"
"ind_3","Gambling participation","Any NZ Lotto products","adults",2018,"Men: Most deprived vs least deprived",0.91,0.76,1.09,"Age, Ethnicity"
"ind_3","Gambling participation","Any NZ Lotto products","adults",2018,"Men: Pacific vs non-Pacific",1.08,0.88,1.32,"Age"
"ind_3","Gambling participation","Any NZ Lotto products","adults",2018,"Most deprived vs least deprived",1,0.89,1.13,"Age, Sex, Ethnicity"
"ind_3","Gambling participation","Any NZ Lotto products","adults",2018,"Pacific vs non-Pacific",1,0.87,1.14,"Age, Sex"
"ind_3","Gambling participation","Any NZ Lotto products","adults",2018,"Women vs men",0.98,0.89,1.08,"Age"
"ind_3","Gambling participation","Any NZ Lotto products","adults",2018,"Women: Asian vs non-Asian",0.49,0.36,0.67,"Age"
"ind_3","Gambling participation","Any NZ Lotto products","adults",2018,"Women: Maori vs non-Maori",1.15,1.02,1.31,"Age"
"ind_3","Gambling participation","Any NZ Lotto products","adults",2018,"Women: Most deprived vs least deprived",1.11,0.96,1.29,"Age, Ethnicity"
"ind_3","Gambling participation","Any NZ Lotto products","adults",2018,"Women: Pacific vs non-Pacific",0.93,0.77,1.12,"Age"
"ind_31","Gaming machines and pokies","Pokies at either pubs/clubs","adults",2018,"Asian vs non-Asian",0.24,0.12,0.51,"Age, Sex"
"ind_31","Gaming machines and pokies","Pokies at either pubs/clubs","adults",2018,"Maori vs non-Maori",1.34,0.92,1.93,"Age, Sex"
"ind_31","Gaming machines and pokies","Pokies at either pubs/clubs","adults",2018,"Men: Asian vs non-Asian",0.33,0.12,0.91,"Age"
"ind_31","Gaming machines and pokies","Pokies at either pubs/clubs","adults",2018,"Men: Maori vs non-Maori",1.11,0.6,2.07,"Age"
"ind_31","Gaming machines and pokies","Pokies at either pubs/clubs","adults",2018,"Men: Most deprived vs least deprived",2.96,1.43,6.15,"Age, Ethnicity"
"ind_31","Gaming machines and pokies","Pokies at either pubs/clubs","adults",2018,"Men: Pacific vs non-Pacific",0.97,0.49,1.92,"Age"
"ind_31","Gaming machines and pokies","Pokies at either pubs/clubs","adults",2018,"Most deprived vs least deprived",2.15,1.37,3.36,"Age, Sex, Ethnicity"
"ind_31","Gaming machines and pokies","Pokies at either pubs/clubs","adults",2018,"Pacific vs non-Pacific",0.99,0.64,1.53,"Age, Sex"
"ind_31","Gaming machines and pokies","Pokies at either pubs/clubs","adults",2018,"Women vs men",0.94,0.68,1.31,"Age"
"ind_31","Gaming machines and pokies","Pokies at either pubs/clubs","adults",2018,"Women: Asian vs non-Asian",0.16,0.05,0.47,"Age"
"ind_31","Gaming machines and pokies","Pokies at either pubs/clubs","adults",2018,"Women: Maori vs non-Maori",1.58,1.06,2.37,"Age"
"ind_31","Gaming machines and pokies","Pokies at either pubs/clubs","adults",2018,"Women: Most deprived vs least deprived",1.62,0.95,2.76,"Age, Ethnicity"
"ind_31","Gaming machines and pokies","Pokies at either pubs/clubs","adults",2018,"Women: Pacific vs non-Pacific",1.03,0.64,1.66,"Age"
"ind_32","Gaming machines and pokies","Pokies at casinos","adults",2018,"Asian vs non-Asian",0.84,0.38,1.87,"Age, Sex"
"ind_32","Gaming machines and pokies","Pokies at casinos","adults",2018,"Maori vs non-Maori",1.03,0.58,1.86,"Age, Sex"
"ind_32","Gaming machines and pokies","Pokies at casinos","adults",2018,"Men: Asian vs non-Asian",1.56,0.51,4.78,"Age"
"ind_32","Gaming machines and pokies","Pokies at casinos","adults",2018,"Men: Maori vs non-Maori",0.97,0.32,2.98,"Age"
"ind_32","Gaming machines and pokies","Pokies at casinos","adults",2018,"Men: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_32","Gaming machines and pokies","Pokies at casinos","adults",2018,"Men: Pacific vs non-Pacific",0.84,0.27,2.59,"Age"
"ind_32","Gaming machines and pokies","Pokies at casinos","adults",2018,"Most deprived vs least deprived",1.97,1.01,3.87,"Age, Sex, Ethnicity"
"ind_32","Gaming machines and pokies","Pokies at casinos","adults",2018,"Pacific vs non-Pacific",1.22,0.67,2.2,"Age, Sex"
"ind_32","Gaming machines and pokies","Pokies at casinos","adults",2018,"Women vs men",1.13,0.66,1.92,"Age"
"ind_32","Gaming machines and pokies","Pokies at casinos","adults",2018,"Women: Asian vs non-Asian",0.33,0.12,0.88,"Age"
"ind_32","Gaming machines and pokies","Pokies at casinos","adults",2018,"Women: Maori vs non-Maori",1.09,0.57,2.1,"Age"
"ind_32","Gaming machines and pokies","Pokies at casinos","adults",2018,"Women: Most deprived vs least deprived",1.76,0.75,4.09,"Age, Ethnicity"
"ind_32","Gaming machines and pokies","Pokies at casinos","adults",2018,"Women: Pacific vs non-Pacific",1.61,0.78,3.3,"Age"
"ind_33","Attitudes to tobacco","Banning smoking in cars when children under 18 years old are present","adults",2018,"Asian vs non-Asian",1.01,0.97,1.04,"Age, Sex"
"ind_33","Attitudes to tobacco","Banning smoking in cars when children under 18 years old are present","adults",2018,"Maori vs non-Maori",0.99,0.96,1.01,"Age, Sex"
"ind_33","Attitudes to tobacco","Banning smoking in cars when children under 18 years old are present","adults",2018,"Men: Asian vs non-Asian",0.99,0.93,1.06,"Age"
"ind_33","Attitudes to tobacco","Banning smoking in cars when children under 18 years old are present","adults",2018,"Men: Maori vs non-Maori",0.99,0.94,1.04,"Age"
"ind_33","Attitudes to tobacco","Banning smoking in cars when children under 18 years old are present","adults",2018,"Men: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_33","Attitudes to tobacco","Banning smoking in cars when children under 18 years old are present","adults",2018,"Men: Pacific vs non-Pacific",1.02,0.97,1.07,"Age"
"ind_33","Attitudes to tobacco","Banning smoking in cars when children under 18 years old are present","adults",2018,"Most deprived vs least deprived",0.96,0.94,0.99,"Age, Sex, Ethnicity"
"ind_33","Attitudes to tobacco","Banning smoking in cars when children under 18 years old are present","adults",2018,"Pacific vs non-Pacific",1.02,0.99,1.04,"Age, Sex"
"ind_33","Attitudes to tobacco","Banning smoking in cars when children under 18 years old are present","adults",2018,"Women vs men",1.01,0.98,1.03,"Age"
"ind_33","Attitudes to tobacco","Banning smoking in cars when children under 18 years old are present","adults",2018,"Women: Asian vs non-Asian",1.02,0.99,1.05,"Age"
"ind_33","Attitudes to tobacco","Banning smoking in cars when children under 18 years old are present","adults",2018,"Women: Maori vs non-Maori",0.98,0.95,1.01,"Age"
"ind_33","Attitudes to tobacco","Banning smoking in cars when children under 18 years old are present","adults",2018,"Women: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_33","Attitudes to tobacco","Banning smoking in cars when children under 18 years old are present","adults",2018,"Women: Pacific vs non-Pacific",1.01,0.99,1.03,"Age"
"ind_34","Attitudes to tobacco","Banning smoking in all public outdoor dining areas","adults",2018,"Asian vs non-Asian",1.11,1.01,1.22,"Age, Sex"
"ind_34","Attitudes to tobacco","Banning smoking in all public outdoor dining areas","adults",2018,"Maori vs non-Maori",0.89,0.82,0.97,"Age, Sex"
"ind_34","Attitudes to tobacco","Banning smoking in all public outdoor dining areas","adults",2018,"Men: Asian vs non-Asian",1.1,0.95,1.26,"Age"
"ind_34","Attitudes to tobacco","Banning smoking in all public outdoor dining areas","adults",2018,"Men: Maori vs non-Maori",0.92,0.8,1.07,"Age"
"ind_34","Attitudes to tobacco","Banning smoking in all public outdoor dining areas","adults",2018,"Men: Most deprived vs least deprived",0.94,0.82,1.07,"Age, Ethnicity"
"ind_34","Attitudes to tobacco","Banning smoking in all public outdoor dining areas","adults",2018,"Men: Pacific vs non-Pacific",1.01,0.87,1.18,"Age"
"ind_34","Attitudes to tobacco","Banning smoking in all public outdoor dining areas","adults",2018,"Most deprived vs least deprived",0.92,0.85,1,"Age, Sex, Ethnicity"
"ind_34","Attitudes to tobacco","Banning smoking in all public outdoor dining areas","adults",2018,"Pacific vs non-Pacific",1.02,0.93,1.11,"Age, Sex"
"ind_34","Attitudes to tobacco","Banning smoking in all public outdoor dining areas","adults",2018,"Women vs men",1.02,0.96,1.08,"Age"
"ind_34","Attitudes to tobacco","Banning smoking in all public outdoor dining areas","adults",2018,"Women: Asian vs non-Asian",1.12,1.01,1.25,"Age"
"ind_34","Attitudes to tobacco","Banning smoking in all public outdoor dining areas","adults",2018,"Women: Maori vs non-Maori",0.86,0.78,0.95,"Age"
"ind_34","Attitudes to tobacco","Banning smoking in all public outdoor dining areas","adults",2018,"Women: Most deprived vs least deprived",0.9,0.82,0.99,"Age, Ethnicity"
"ind_34","Attitudes to tobacco","Banning smoking in all public outdoor dining areas","adults",2018,"Women: Pacific vs non-Pacific",1.03,0.94,1.13,"Age"
"ind_35","Attitudes to tobacco","Reduce number of places allowed to sell cigarettes and tobacco","adults",2018,"Asian vs non-Asian",1.19,1.06,1.34,"Age, Sex"
"ind_35","Attitudes to tobacco","Reduce number of places allowed to sell cigarettes and tobacco","adults",2018,"Maori vs non-Maori",0.97,0.86,1.08,"Age, Sex"
"ind_35","Attitudes to tobacco","Reduce number of places allowed to sell cigarettes and tobacco","adults",2018,"Men: Asian vs non-Asian",1.12,0.91,1.36,"Age"
"ind_35","Attitudes to tobacco","Reduce number of places allowed to sell cigarettes and tobacco","adults",2018,"Men: Maori vs non-Maori",1,0.83,1.21,"Age"
"ind_35","Attitudes to tobacco","Reduce number of places allowed to sell cigarettes and tobacco","adults",2018,"Men: Most deprived vs least deprived",0.85,0.7,1.02,"Age, Ethnicity"
"ind_35","Attitudes to tobacco","Reduce number of places allowed to sell cigarettes and tobacco","adults",2018,"Men: Pacific vs non-Pacific",1.3,1.13,1.48,"Age"
"ind_35","Attitudes to tobacco","Reduce number of places allowed to sell cigarettes and tobacco","adults",2018,"Most deprived vs least deprived",0.86,0.77,0.96,"Age, Sex, Ethnicity"
"ind_35","Attitudes to tobacco","Reduce number of places allowed to sell cigarettes and tobacco","adults",2018,"Pacific vs non-Pacific",1.2,1.11,1.3,"Age, Sex"
"ind_35","Attitudes to tobacco","Reduce number of places allowed to sell cigarettes and tobacco","adults",2018,"Women vs men",1.12,1.03,1.21,"Age"
"ind_35","Attitudes to tobacco","Reduce number of places allowed to sell cigarettes and tobacco","adults",2018,"Women: Asian vs non-Asian",1.25,1.12,1.4,"Age"
"ind_35","Attitudes to tobacco","Reduce number of places allowed to sell cigarettes and tobacco","adults",2018,"Women: Maori vs non-Maori",0.94,0.84,1.05,"Age"
"ind_35","Attitudes to tobacco","Reduce number of places allowed to sell cigarettes and tobacco","adults",2018,"Women: Most deprived vs least deprived",0.87,0.78,0.96,"Age, Ethnicity"
"ind_35","Attitudes to tobacco","Reduce number of places allowed to sell cigarettes and tobacco","adults",2018,"Women: Pacific vs non-Pacific",1.12,1.02,1.23,"Age"
"ind_36","Attitudes to tobacco","Increase price to decrease affordability for young people","adults",2016,"Asian vs non-Asian",1.27,1.16,1.38,"Age, Sex"
"ind_36","Attitudes to tobacco","Increase price to decrease affordability for young people","adults",2016,"Maori vs non-Maori",0.84,0.76,0.92,"Age, Sex"
"ind_36","Attitudes to tobacco","Increase price to decrease affordability for young people","adults",2016,"Men: Asian vs non-Asian",1.28,1.11,1.46,"Age"
"ind_36","Attitudes to tobacco","Increase price to decrease affordability for young people","adults",2016,"Men: Maori vs non-Maori",0.97,0.84,1.13,"Age"
"ind_36","Attitudes to tobacco","Increase price to decrease affordability for young people","adults",2016,"Men: Most deprived vs least deprived",0.79,0.68,0.92,"Age, Ethnicity"
"ind_36","Attitudes to tobacco","Increase price to decrease affordability for young people","adults",2016,"Men: Pacific vs non-Pacific",1.2,1.05,1.37,"Age"
"ind_36","Attitudes to tobacco","Increase price to decrease affordability for young people","adults",2016,"Most deprived vs least deprived",0.79,0.72,0.87,"Age, Sex, Ethnicity"
"ind_36","Attitudes to tobacco","Increase price to decrease affordability for young people","adults",2016,"Pacific vs non-Pacific",1.12,1.03,1.22,"Age, Sex"
"ind_36","Attitudes to tobacco","Increase price to decrease affordability for young people","adults",2016,"Women vs men",1.17,1.1,1.24,"Age"
"ind_36","Attitudes to tobacco","Increase price to decrease affordability for young people","adults",2016,"Women: Asian vs non-Asian",1.26,1.15,1.37,"Age"
"ind_36","Attitudes to tobacco","Increase price to decrease affordability for young people","adults",2016,"Women: Maori vs non-Maori",0.74,0.65,0.83,"Age"
"ind_36","Attitudes to tobacco","Increase price to decrease affordability for young people","adults",2016,"Women: Most deprived vs least deprived",0.8,0.72,0.88,"Age, Ethnicity"
"ind_36","Attitudes to tobacco","Increase price to decrease affordability for young people","adults",2016,"Women: Pacific vs non-Pacific",1.06,0.96,1.17,"Age"
"ind_37","Attitudes to tobacco","Perceived proportion of smokers in NZ",NA,NA,NA,NA,NA,NA,NA
"ind_38","Attitudes to tobacco","Awareness of Smokefree 2025","adults",2016,"Asian vs non-Asian",0.74,0.62,0.87,"Age, Sex"
"ind_38","Attitudes to tobacco","Awareness of Smokefree 2025","adults",2016,"Maori vs non-Maori",0.97,0.89,1.07,"Age, Sex"
"ind_38","Attitudes to tobacco","Awareness of Smokefree 2025","adults",2016,"Men: Asian vs non-Asian",0.75,0.59,0.95,"Age"
"ind_38","Attitudes to tobacco","Awareness of Smokefree 2025","adults",2016,"Men: Maori vs non-Maori",1.03,0.89,1.18,"Age"
"ind_38","Attitudes to tobacco","Awareness of Smokefree 2025","adults",2016,"Men: Most deprived vs least deprived",1,0.85,1.17,"Age, Ethnicity"
"ind_38","Attitudes to tobacco","Awareness of Smokefree 2025","adults",2016,"Men: Pacific vs non-Pacific",0.88,0.73,1.06,"Age"
"ind_38","Attitudes to tobacco","Awareness of Smokefree 2025","adults",2016,"Most deprived vs least deprived",1.05,0.94,1.18,"Age, Sex, Ethnicity"
"ind_38","Attitudes to tobacco","Awareness of Smokefree 2025","adults",2016,"Pacific vs non-Pacific",0.8,0.71,0.92,"Age, Sex"
"ind_38","Attitudes to tobacco","Awareness of Smokefree 2025","adults",2016,"Women vs men",0.94,0.88,1.02,"Age"
"ind_38","Attitudes to tobacco","Awareness of Smokefree 2025","adults",2016,"Women: Asian vs non-Asian",0.72,0.57,0.92,"Age"
"ind_38","Attitudes to tobacco","Awareness of Smokefree 2025","adults",2016,"Women: Maori vs non-Maori",0.92,0.81,1.05,"Age"
"ind_38","Attitudes to tobacco","Awareness of Smokefree 2025","adults",2016,"Women: Most deprived vs least deprived",1.12,0.97,1.3,"Age, Ethnicity"
"ind_38","Attitudes to tobacco","Awareness of Smokefree 2025","adults",2016,"Women: Pacific vs non-Pacific",0.72,0.6,0.87,"Age"
"ind_4","Gambling participation","Online gambling on overseas website","adults",2018,"Asian vs non-Asian",NA,NA,NA,"Age, Sex"
"ind_4","Gambling participation","Online gambling on overseas website","adults",2018,"Maori vs non-Maori",NA,NA,NA,"Age, Sex"
"ind_4","Gambling participation","Online gambling on overseas website","adults",2018,"Men: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_4","Gambling participation","Online gambling on overseas website","adults",2018,"Men: Maori vs non-Maori",NA,NA,NA,"Age"
"ind_4","Gambling participation","Online gambling on overseas website","adults",2018,"Men: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_4","Gambling participation","Online gambling on overseas website","adults",2018,"Men: Pacific vs non-Pacific",NA,NA,NA,"Age"
"ind_4","Gambling participation","Online gambling on overseas website","adults",2018,"Most deprived vs least deprived",NA,NA,NA,"Age, Sex, Ethnicity"
"ind_4","Gambling participation","Online gambling on overseas website","adults",2018,"Pacific vs non-Pacific",NA,NA,NA,"Age, Sex"
"ind_4","Gambling participation","Online gambling on overseas website","adults",2018,"Women vs men",0.3,0.15,0.61,"Age"
"ind_4","Gambling participation","Online gambling on overseas website","adults",2018,"Women: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_4","Gambling participation","Online gambling on overseas website","adults",2018,"Women: Maori vs non-Maori",NA,NA,NA,"Age"
"ind_4","Gambling participation","Online gambling on overseas website","adults",2018,"Women: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_4","Gambling participation","Online gambling on overseas website","adults",2018,"Women: Pacific vs non-Pacific",NA,NA,NA,"Age"
"ind_41","Quit smoking","Quit attempts - none","adult smokers and recent quitters",2018,"Asian vs non-Asian",1.08,0.57,2.08,"Age, Sex"
"ind_41","Quit smoking","Quit attempts - none","adult smokers and recent quitters",2018,"Maori vs non-Maori",0.78,0.57,1.07,"Age, Sex"
"ind_41","Quit smoking","Quit attempts - none","adult smokers and recent quitters",2018,"Men: Asian vs non-Asian",1.29,0.86,1.93,"Age"
"ind_41","Quit smoking","Quit attempts - none","adult smokers and recent quitters",2018,"Men: Maori vs non-Maori",0.71,0.43,1.19,"Age"
"ind_41","Quit smoking","Quit attempts - none","adult smokers and recent quitters",2018,"Men: Most deprived vs least deprived",1.07,0.6,1.9,"Age, Ethnicity"
"ind_41","Quit smoking","Quit attempts - none","adult smokers and recent quitters",2018,"Men: Pacific vs non-Pacific",0.62,0.33,1.16,"Age"
"ind_41","Quit smoking","Quit attempts - none","adult smokers and recent quitters",2018,"Most deprived vs least deprived",1.14,0.7,1.84,"Age, Sex, Ethnicity"
"ind_41","Quit smoking","Quit attempts - none","adult smokers and recent quitters",2018,"Pacific vs non-Pacific",0.81,0.55,1.2,"Age, Sex"
"ind_41","Quit smoking","Quit attempts - none","adult smokers and recent quitters",2018,"Women vs men",0.92,0.69,1.24,"Age"
"ind_41","Quit smoking","Quit attempts - none","adult smokers and recent quitters",2018,"Women: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_41","Quit smoking","Quit attempts - none","adult smokers and recent quitters",2018,"Women: Maori vs non-Maori",0.86,0.58,1.29,"Age"
"ind_41","Quit smoking","Quit attempts - none","adult smokers and recent quitters",2018,"Women: Most deprived vs least deprived",1.39,0.52,3.71,"Age, Ethnicity"
"ind_41","Quit smoking","Quit attempts - none","adult smokers and recent quitters",2018,"Women: Pacific vs non-Pacific",1.05,0.68,1.63,"Age"
"ind_42","Quit smoking","Quit attempts - one","adult smokers and recent quitters",2018,"Asian vs non-Asian",0.93,0.37,2.33,"Age, Sex"
"ind_42","Quit smoking","Quit attempts - one","adult smokers and recent quitters",2018,"Maori vs non-Maori",1.49,0.95,2.35,"Age, Sex"
"ind_42","Quit smoking","Quit attempts - one","adult smokers and recent quitters",2018,"Men: Asian vs non-Asian",1.11,0.43,2.9,"Age"
"ind_42","Quit smoking","Quit attempts - one","adult smokers and recent quitters",2018,"Men: Maori vs non-Maori",1.47,0.72,2.98,"Age"
"ind_42","Quit smoking","Quit attempts - one","adult smokers and recent quitters",2018,"Men: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_42","Quit smoking","Quit attempts - one","adult smokers and recent quitters",2018,"Men: Pacific vs non-Pacific",2.12,1.19,3.79,"Age"
"ind_42","Quit smoking","Quit attempts - one","adult smokers and recent quitters",2018,"Most deprived vs least deprived",1.12,0.5,2.53,"Age, Sex, Ethnicity"
"ind_42","Quit smoking","Quit attempts - one","adult smokers and recent quitters",2018,"Pacific vs non-Pacific",1.29,0.74,2.25,"Age, Sex"
"ind_42","Quit smoking","Quit attempts - one","adult smokers and recent quitters",2018,"Women vs men",0.99,0.65,1.52,"Age"
"ind_42","Quit smoking","Quit attempts - one","adult smokers and recent quitters",2018,"Women: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_42","Quit smoking","Quit attempts - one","adult smokers and recent quitters",2018,"Women: Maori vs non-Maori",1.51,0.85,2.67,"Age"
"ind_42","Quit smoking","Quit attempts - one","adult smokers and recent quitters",2018,"Women: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_42","Quit smoking","Quit attempts - one","adult smokers and recent quitters",2018,"Women: Pacific vs non-Pacific",0.58,0.23,1.46,"Age"
"ind_43","Quit smoking","Quit attempts - 2 or more","adult smokers and recent quitters",2018,"Asian vs non-Asian",NA,NA,NA,"Age, Sex"
"ind_43","Quit smoking","Quit attempts - 2 or more","adult smokers and recent quitters",2018,"Maori vs non-Maori",0.97,0.55,1.71,"Age, Sex"
"ind_43","Quit smoking","Quit attempts - 2 or more","adult smokers and recent quitters",2018,"Men: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_43","Quit smoking","Quit attempts - 2 or more","adult smokers and recent quitters",2018,"Men: Maori vs non-Maori",NA,NA,NA,"Age"
"ind_43","Quit smoking","Quit attempts - 2 or more","adult smokers and recent quitters",2018,"Men: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_43","Quit smoking","Quit attempts - 2 or more","adult smokers and recent quitters",2018,"Men: Pacific vs non-Pacific",NA,NA,NA,"Age"
"ind_43","Quit smoking","Quit attempts - 2 or more","adult smokers and recent quitters",2018,"Most deprived vs least deprived",0.66,0.3,1.48,"Age, Sex, Ethnicity"
"ind_43","Quit smoking","Quit attempts - 2 or more","adult smokers and recent quitters",2018,"Pacific vs non-Pacific",1.05,0.63,1.75,"Age, Sex"
"ind_43","Quit smoking","Quit attempts - 2 or more","adult smokers and recent quitters",2018,"Women vs men",1.2,0.68,2.13,"Age"
"ind_43","Quit smoking","Quit attempts - 2 or more","adult smokers and recent quitters",2018,"Women: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_43","Quit smoking","Quit attempts - 2 or more","adult smokers and recent quitters",2018,"Women: Maori vs non-Maori",0.8,0.43,1.49,"Age"
"ind_43","Quit smoking","Quit attempts - 2 or more","adult smokers and recent quitters",2018,"Women: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_43","Quit smoking","Quit attempts - 2 or more","adult smokers and recent quitters",2018,"Women: Pacific vs non-Pacific",1.41,0.73,2.72,"Age"
"ind_44","Current smoking","Ever smoked tobacco","adults",2018,"Asian vs non-Asian",0.4,0.29,0.54,"Age, Sex"
"ind_44","Current smoking","Ever smoked tobacco","adults",2018,"Maori vs non-Maori",1.47,1.32,1.65,"Age, Sex"
"ind_44","Current smoking","Ever smoked tobacco","adults",2018,"Men: Asian vs non-Asian",0.55,0.38,0.78,"Age"
"ind_44","Current smoking","Ever smoked tobacco","adults",2018,"Men: Maori vs non-Maori",1.43,1.22,1.66,"Age"
"ind_44","Current smoking","Ever smoked tobacco","adults",2018,"Men: Most deprived vs least deprived",1.18,0.94,1.47,"Age, Ethnicity"
"ind_44","Current smoking","Ever smoked tobacco","adults",2018,"Men: Pacific vs non-Pacific",0.92,0.73,1.16,"Age"
"ind_44","Current smoking","Ever smoked tobacco","adults",2018,"Most deprived vs least deprived",1.17,0.99,1.38,"Age, Sex, Ethnicity"
"ind_44","Current smoking","Ever smoked tobacco","adults",2018,"Pacific vs non-Pacific",0.98,0.85,1.14,"Age, Sex"
"ind_44","Current smoking","Ever smoked tobacco","adults",2018,"Women vs men",0.83,0.76,0.92,"Age"
"ind_44","Current smoking","Ever smoked tobacco","adults",2018,"Women: Asian vs non-Asian",0.24,0.13,0.44,"Age"
"ind_44","Current smoking","Ever smoked tobacco","adults",2018,"Women: Maori vs non-Maori",1.52,1.34,1.73,"Age"
"ind_44","Current smoking","Ever smoked tobacco","adults",2018,"Women: Most deprived vs least deprived",1.16,0.96,1.4,"Age, Ethnicity"
"ind_44","Current smoking","Ever smoked tobacco","adults",2018,"Women: Pacific vs non-Pacific",1.06,0.89,1.26,"Age"
"ind_45","Current smoking","Age of first try",NA,NA,NA,NA,NA,NA,NA
"ind_46","Current smoking","Age of starting smoking daily",NA,NA,NA,NA,NA,NA,NA
"ind_47","Current smoking","Smoker - current","adults",2018,"Asian vs non-Asian",0.44,0.2,1.01,"Age, Sex"
"ind_47","Current smoking","Smoker - current","adults",2018,"Maori vs non-Maori",2.53,1.92,3.33,"Age, Sex"
"ind_47","Current smoking","Smoker - current","adults",2018,"Men: Asian vs non-Asian",0.6,0.24,1.5,"Age"
"ind_47","Current smoking","Smoker - current","adults",2018,"Men: Maori vs non-Maori",2.2,1.48,3.26,"Age"
"ind_47","Current smoking","Smoker - current","adults",2018,"Men: Most deprived vs least deprived",1.99,1.05,3.78,"Age, Ethnicity"
"ind_47","Current smoking","Smoker - current","adults",2018,"Men: Pacific vs non-Pacific",1.04,0.63,1.72,"Age"
"ind_47","Current smoking","Smoker - current","adults",2018,"Most deprived vs least deprived",2.53,1.53,4.19,"Age, Sex, Ethnicity"
"ind_47","Current smoking","Smoker - current","adults",2018,"Pacific vs non-Pacific",1.4,1,1.95,"Age, Sex"
"ind_47","Current smoking","Smoker - current","adults",2018,"Women vs men",0.64,0.49,0.83,"Age"
"ind_47","Current smoking","Smoker - current","adults",2018,"Women: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_47","Current smoking","Smoker - current","adults",2018,"Women: Maori vs non-Maori",3.06,2.14,4.37,"Age"
"ind_47","Current smoking","Smoker - current","adults",2018,"Women: Most deprived vs least deprived",3.96,1.84,8.51,"Age, Ethnicity"
"ind_47","Current smoking","Smoker - current","adults",2018,"Women: Pacific vs non-Pacific",2,1.34,2.99,"Age"
"ind_48","Current smoking","Smoker - past experimental","adults",2018,"Asian vs non-Asian",0.33,0.17,0.63,"Age, Sex"
"ind_48","Current smoking","Smoker - past experimental","adults",2018,"Maori vs non-Maori",0.96,0.61,1.51,"Age, Sex"
"ind_48","Current smoking","Smoker - past experimental","adults",2018,"Men: Asian vs non-Asian",0.22,0.05,0.9,"Age"
"ind_48","Current smoking","Smoker - past experimental","adults",2018,"Men: Maori vs non-Maori",1.09,0.55,2.19,"Age"
"ind_48","Current smoking","Smoker - past experimental","adults",2018,"Men: Most deprived vs least deprived",0.48,0.21,1.12,"Age, Ethnicity"
"ind_48","Current smoking","Smoker - past experimental","adults",2018,"Men: Pacific vs non-Pacific",0.74,0.29,1.91,"Age"
"ind_48","Current smoking","Smoker - past experimental","adults",2018,"Most deprived vs least deprived",0.47,0.27,0.82,"Age, Sex, Ethnicity"
"ind_48","Current smoking","Smoker - past experimental","adults",2018,"Pacific vs non-Pacific",0.66,0.36,1.22,"Age, Sex"
